Genre,imdbID,Language,Title,Released
Comedy,tt0029927,en,Blondie,1938-11-30
Family,tt0029927,en,Blondie,1938-11-30
Adventure,tt0011436,de,Der Mann ohne Namen,1921-01-01
Drama,tt0055747,fr,L'Amour à vingt ans,1962-06-22
Romance,tt0055747,fr,L'Amour à vingt ans,1962-06-22
Family,tt1656746,en,Sesame Street: Elmo Loves You!,2010-01-05
Drama,tt0094675,fi,Ariel,1988-10-21
Comedy,tt0094675,fi,Ariel,1988-10-21
Crime,tt0094675,fi,Ariel,1988-10-21
Drama,tt0092149,fi,Varjoja paratiisissa,1986-10-17
Comedy,tt0092149,fi,Varjoja paratiisissa,1986-10-17
Romance,tt0092149,fi,Varjoja paratiisissa,1986-10-17
Crime,tt0113101,en,Four Rooms,1995-12-09
Comedy,tt0113101,en,Four Rooms,1995-12-09
Action,tt0107286,en,Judgment Night,1993-10-15
Crime,tt0107286,en,Judgment Night,1993-10-15
Thriller,tt0107286,en,Judgment Night,1993-10-15
Documentary,tt0825671,en,Life in Loops (A Megacities RMX),2006-01-01
Drama,tt0425473,de,Sonntag im August,2004-09-02
Adventure,tt0076759,en,Star Wars,1977-05-25
Action,tt0076759,en,Star Wars,1977-05-25
Science Fiction,tt0076759,en,Star Wars,1977-05-25
Animation,tt0266543,en,Finding Nemo,2003-05-30
Family,tt0266543,en,Finding Nemo,2003-05-30
Comedy,tt0109830,en,Forrest Gump,1994-06-23
Drama,tt0109830,en,Forrest Gump,1994-06-23
Romance,tt0109830,en,Forrest Gump,1994-06-23
Drama,tt0169547,en,American Beauty,1999-09-15
Mystery,tt0033467,en,Citizen Kane,1941-04-17
Drama,tt0033467,en,Citizen Kane,1941-04-17
Drama,tt0168629,en,Dancer in the Dark,2000-06-30
Crime,tt0168629,en,Dancer in the Dark,2000-06-30
Horror,tt0411267,en,The Dark,2005-09-28
Thriller,tt0411267,en,The Dark,2005-09-28
Mystery,tt0411267,en,The Dark,2005-09-28
Adventure,tt0119116,en,The Fifth Element,1997-05-02
Fantasy,tt0119116,en,The Fifth Element,1997-05-02
Action,tt0119116,en,The Fifth Element,1997-05-02
Thriller,tt0119116,en,The Fifth Element,1997-05-02
Science Fiction,tt0119116,en,The Fifth Element,1997-05-02
Drama,tt0017136,de,Metropolis,1927-02-06
Science Fiction,tt0017136,de,Metropolis,1927-02-06
Drama,tt0314412,en,My Life Without Me,2003-03-07
Romance,tt0314412,en,My Life Without Me,2003-03-07
Documentary,tt0060371,en,The Endless Summer,1966-06-15
Adventure,tt0325980,en,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09
Fantasy,tt0325980,en,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09
Action,tt0325980,en,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09
Action,tt0266697,en,Kill Bill: Vol. 1,2003-10-10
Crime,tt0266697,en,Kill Bill: Vol. 1,2003-10-10
Drama,tt0418763,en,Jarhead,2005-11-04
War,tt0418763,en,Jarhead,2005-11-04
Drama,tt0352994,he,LaLehet Al HaMayim,2004-02-05
Drama,tt0411705,en,9 Songs,2004-07-16
Music,tt0411705,en,9 Songs,2004-07-16
Romance,tt0411705,en,9 Songs,2004-07-16
Drama,tt0078788,en,Apocalypse Now,1979-08-15
War,tt0078788,en,Apocalypse Now,1979-08-15
Western,tt0105695,en,Unforgiven,1992-08-07
Animation,tt0462538,en,The Simpsons Movie,2007-07-25
Comedy,tt0462538,en,The Simpsons Movie,2007-07-25
Family,tt0462538,en,The Simpsons Movie,2007-07-25
Science Fiction,tt0338013,en,Eternal Sunshine of the Spotless Mind,2004-03-19
Drama,tt0338013,en,Eternal Sunshine of the Spotless Mind,2004-03-19
Romance,tt0338013,en,Eternal Sunshine of the Spotless Mind,2004-03-19
Drama,tt0245712,es,Amores perros,2000-06-16
Thriller,tt0245712,es,Amores perros,2000-06-16
Adventure,tt0383574,en,Pirates of the Caribbean: Dead Man's Chest,2006-07-06
Fantasy,tt0383574,en,Pirates of the Caribbean: Dead Man's Chest,2006-07-06
Action,tt0383574,en,Pirates of the Caribbean: Dead Man's Chest,2006-07-06
Drama,tt0399146,en,A History of Violence,2005-09-23
Thriller,tt0399146,en,A History of Violence,2005-09-23
Crime,tt0399146,en,A History of Violence,2005-09-23
Science Fiction,tt0062622,en,2001: A Space Odyssey,1968-04-02
Mystery,tt0062622,en,2001: A Space Odyssey,1968-04-02
Adventure,tt0062622,en,2001: A Space Odyssey,1968-04-02
Science Fiction,tt0114746,en,Twelve Monkeys,1995-12-29
Thriller,tt0114746,en,Twelve Monkeys,1995-12-29
Mystery,tt0114746,en,Twelve Monkeys,1995-12-29
Drama,tt0287467,es,Hable con ella,2002-03-15
Romance,tt0287467,es,Hable con ella,2002-03-15
Drama,tt0298203,en,8 Mile,2002-11-08
Music,tt0298203,en,8 Mile,2002-11-08
Crime,tt0118548,en,Absolute Power,1997-02-14
Drama,tt0118548,en,Absolute Power,1997-02-14
Action,tt0118548,en,Absolute Power,1997-02-14
Thriller,tt0445620,en,Paradise Now,2005-09-07
Crime,tt0445620,en,Paradise Now,2005-09-07
Drama,tt0445620,en,Paradise Now,2005-09-07
Comedy,tt0088846,en,Brazil,1985-02-20
Science Fiction,tt0088846,en,Brazil,1985-02-20
Drama,tt0358273,en,Walk the Line,2005-09-13
Music,tt0358273,en,Walk the Line,2005-09-13
Romance,tt0358273,en,Walk the Line,2005-09-13
Drama,tt0405159,en,Million Dollar Baby,2004-12-15
Drama,tt0249462,en,Billy Elliot,2000-09-28
Comedy,tt0249462,en,Billy Elliot,2000-09-28
Music,tt0249462,en,Billy Elliot,2000-09-28
Drama,tt0120586,en,American History X,1998-07-01
Adventure,tt0407304,en,War of the Worlds,2005-06-28
Thriller,tt0407304,en,War of the Worlds,2005-06-28
Science Fiction,tt0407304,en,War of the Worlds,2005-06-28
Comedy,tt0116996,en,Mars Attacks!,1996-12-12
Fantasy,tt0116996,en,Mars Attacks!,1996-12-12
Science Fiction,tt0116996,en,Mars Attacks!,1996-12-12
Drama,tt0112471,en,Before Sunrise,1995-01-27
Romance,tt0112471,en,Before Sunrise,1995-01-27
Mystery,tt0209144,en,Memento,2000-10-11
Thriller,tt0209144,en,Memento,2000-10-11
Science Fiction,tt0083658,en,Blade Runner,1982-06-25
Drama,tt0083658,en,Blade Runner,1982-06-25
Thriller,tt0083658,en,Blade Runner,1982-06-25
Drama,tt0299977,zh,英雄,2002-07-22
Adventure,tt0299977,zh,英雄,2002-07-22
Action,tt0299977,zh,英雄,2002-07-22
History,tt0299977,zh,英雄,2002-07-22
Drama,tt0381681,en,Before Sunset,2004-02-10
Romance,tt0381681,en,Before Sunset,2004-02-10
Adventure,tt0087544,ja,風の谷のナウシカ,1984-03-11
Animation,tt0087544,ja,風の谷のナウシカ,1984-03-11
Fantasy,tt0087544,ja,風の谷のナウシカ,1984-03-11
Action,tt0430357,en,Miami Vice,2006-07-27
Crime,tt0430357,en,Miami Vice,2006-07-27
Thriller,tt0430357,en,Miami Vice,2006-07-27
Drama,tt0374102,en,Open Water,2003-10-26
Thriller,tt0374102,en,Open Water,2003-10-26
Horror,tt0374102,en,Open Water,2003-10-26
Adventure,tt0082971,en,Raiders of the Lost Ark,1981-06-12
Action,tt0082971,en,Raiders of the Lost Ark,1981-06-12
Drama,tt0430051,de,Elementarteilchen,2006-02-10
Romance,tt0430051,de,Elementarteilchen,2006-02-10
Adventure,tt0087469,en,Indiana Jones and the Temple of Doom,1984-05-23
Action,tt0087469,en,Indiana Jones and the Temple of Doom,1984-05-23
Drama,tt0092890,en,Dirty Dancing,1987-08-21
Music,tt0092890,en,Dirty Dancing,1987-08-21
Romance,tt0092890,en,Dirty Dancing,1987-08-21
Adventure,tt0097576,en,Indiana Jones and the Last Crusade,1989-05-24
Action,tt0097576,en,Indiana Jones and the Last Crusade,1989-05-24
Action,tt0086960,en,Beverly Hills Cop,1984-12-05
Comedy,tt0086960,en,Beverly Hills Cop,1984-12-05
Crime,tt0086960,en,Beverly Hills Cop,1984-12-05
Documentary,tt0023037,es,Las Hurdes,1933-12-01
Documentary,tt0169024,en,Megacities,1998-08-12
Crime,tt0052561,en,Anatomy of a Murder,1959-07-01
Drama,tt0052561,en,Anatomy of a Murder,1959-07-01
Mystery,tt0052561,en,Anatomy of a Murder,1959-07-01
Comedy,tt0436488,de,Kunstgriff,2002-01-01
Action,tt0120591,en,Armageddon,1998-07-01
Thriller,tt0120591,en,Armageddon,1998-07-01
Science Fiction,tt0120591,en,Armageddon,1998-07-01
Adventure,tt0120591,en,Armageddon,1998-07-01
Action,tt0092644,en,Beverly Hills Cop II,1987-05-18
Comedy,tt0092644,en,Beverly Hills Cop II,1987-05-18
Crime,tt0092644,en,Beverly Hills Cop II,1987-05-18
Science Fiction,tt0084827,en,Tron,1982-07-09
Action,tt0084827,en,Tron,1982-07-09
Adventure,tt0084827,en,Tron,1982-07-09
Action,tt0172495,en,Gladiator,2000-05-04
Drama,tt0172495,en,Gladiator,2000-05-04
Adventure,tt0172495,en,Gladiator,2000-05-04
Comedy,tt0185125,es,Todo sobre mi madre,1999-04-16
Drama,tt0185125,es,Todo sobre mi madre,1999-04-16
Comedy,tt0120735,en,"Lock, Stock and Two Smoking Barrels",1998-08-28
Crime,tt0120735,en,"Lock, Stock and Two Smoking Barrels",1998-08-28
Crime,tt0110413,en,Léon: The Professional,1994-09-14
Drama,tt0110413,en,Léon: The Professional,1994-09-14
Action,tt0110413,en,Léon: The Professional,1994-09-14
Drama,tt0315543,da,Elsker dig for evigt,2002-09-06
Romance,tt0315543,da,Elsker dig for evigt,2002-09-06
Crime,tt0075314,en,Taxi Driver,1976-02-09
Drama,tt0075314,en,Taxi Driver,1976-02-09
Action,tt0130827,de,Lola rennt,1998-03-03
Drama,tt0130827,de,Lola rennt,1998-03-03
Thriller,tt0130827,de,Lola rennt,1998-03-03
Adventure,tt0088763,en,Back to the Future,1985-07-03
Comedy,tt0088763,en,Back to the Future,1985-07-03
Science Fiction,tt0088763,en,Back to the Future,1985-07-03
Science Fiction,tt0093773,en,Predator,1987-06-12
Action,tt0093773,en,Predator,1987-06-12
Adventure,tt0093773,en,Predator,1987-06-12
Thriller,tt0093773,en,Predator,1987-06-12
Crime,tt0208092,en,Snatch,2000-09-01
Comedy,tt0208092,en,Snatch,2000-09-01
Drama,tt0108394,fr,Trois couleurs : Bleu,1993-08-01
Comedy,tt0111507,fr,Trois couleurs : Blanc,1994-01-26
Drama,tt0111507,fr,Trois couleurs : Blanc,1994-01-26
Mystery,tt0111507,fr,Trois couleurs : Blanc,1994-01-26
Drama,tt0111495,fr,Trois couleurs : Rouge,1994-05-12
Mystery,tt0111495,fr,Trois couleurs : Rouge,1994-05-12
Romance,tt0111495,fr,Trois couleurs : Rouge,1994-05-12
Action,tt0086250,en,Scarface,1983-12-09
Crime,tt0086250,en,Scarface,1983-12-09
Drama,tt0086250,en,Scarface,1983-12-09
Comedy,tt0243862,da,Italiensk for begyndere,2000-12-07
Drama,tt0243862,da,Italiensk for begyndere,2000-12-07
Romance,tt0243862,da,Italiensk for begyndere,2000-12-07
Drama,tt0374546,ko,봄 여름 가을 겨울 그리고 봄,2003-09-19
Comedy,tt0100405,en,Pretty Woman,1990-03-23
Romance,tt0100405,en,Pretty Woman,1990-03-23
Comedy,tt0118715,en,The Big Lebowski,1998-03-06
Crime,tt0118715,en,The Big Lebowski,1998-03-06
Drama,tt0416320,en,Match Point,2005-10-26
Thriller,tt0416320,en,Match Point,2005-10-26
Crime,tt0416320,en,Match Point,2005-10-26
Romance,tt0416320,en,Match Point,2005-10-26
Crime,tt0094226,en,The Untouchables,1987-06-03
Drama,tt0094226,en,The Untouchables,1987-06-03
History,tt0094226,en,The Untouchables,1987-06-03
Thriller,tt0094226,en,The Untouchables,1987-06-03
Adventure,tt0367594,en,Charlie and the Chocolate Factory,2005-07-13
Comedy,tt0367594,en,Charlie and the Chocolate Factory,2005-07-13
Family,tt0367594,en,Charlie and the Chocolate Factory,2005-07-13
Fantasy,tt0367594,en,Charlie and the Chocolate Factory,2005-07-13
Adventure,tt0120737,en,The Lord of the Rings: The Fellowship of the Ring,2001-12-18
Fantasy,tt0120737,en,The Lord of the Rings: The Fellowship of the Ring,2001-12-18
Action,tt0120737,en,The Lord of the Rings: The Fellowship of the Ring,2001-12-18
Adventure,tt0167261,en,The Lord of the Rings: The Two Towers,2002-12-18
Fantasy,tt0167261,en,The Lord of the Rings: The Two Towers,2002-12-18
Action,tt0167261,en,The Lord of the Rings: The Two Towers,2002-12-18
Adventure,tt0167260,en,The Lord of the Rings: The Return of the King,2003-12-01
Fantasy,tt0167260,en,The Lord of the Rings: The Return of the King,2003-12-01
Action,tt0167260,en,The Lord of the Rings: The Return of the King,2003-12-01
Adventure,tt0077869,en,The Lord of the Rings,1978-11-15
Animation,tt0077869,en,The Lord of the Rings,1978-11-15
Fantasy,tt0077869,en,The Lord of the Rings,1978-11-15
Drama,tt0086961,pl,Bez końca,1985-06-17
Documentary,tt0080668,pl,Dworzec,1980-01-01
Drama,tt0082631,pl,Krótki dzień pracy,1981-01-01
TV Movie,tt0082631,pl,Krótki dzień pracy,1981-01-01
Drama,tt0084549,pl,Przypadek,1987-01-10
Adventure,tt0119698,ja,もののけ姫,1997-07-12
Fantasy,tt0119698,ja,もののけ姫,1997-07-12
Animation,tt0119698,ja,もののけ姫,1997-07-12
Animation,tt0245429,ja,千と千尋の神隠し,2001-07-20
Family,tt0245429,ja,千と千尋の神隠し,2001-07-20
Fantasy,tt0245429,ja,千と千尋の神隠し,2001-07-20
Documentary,tt0065780,en,Gimme Shelter,1970-12-13
Music,tt0065780,en,Gimme Shelter,1970-12-13
